FIPS,2014 DR,2015 DR,2016 DR,2017 DR,2018 DR,2019 DR,2020 DR
31129,78.0,67.1,43.4,40.9,42.8,9.0,7.4
31131,97.6,92.2,86.9,80.4,70.5,45.0,38.0
31133,84.0,80.0,70.9,50.7,50.9,53.5,37.8
31135,64.5,65.6,68.0,69.6,76.4,93.5,86.9
31137,113.8,110.8,114.5,116.1,104.8,93.9,89.7
31139,29.9,26.0,28.6,27.2,25.2,33.8,43.0
31141,83.1,78.2,77.4,66.6,60.3,31.5,27.0
31143,34.2,25.7,24.7,22.6,23.0,10.3,8.7
31145,131.5,118.4,111.5,101.3,103.7,49.9,45.3
31147,60.4,53.9,51.6,45.3,37.8,15.2,16.8
31149,-9.0,-9.0,-9.0,-9.0,-9.0,6.0,10.2
31151,62.3,57.0,52.8,49.0,48.7,25.9,26.3
31153,59.2,55.5,53.3,45.5,40.0,29.0,26.6
31155,48.4,44.1,31.6,26.9,19.8,18.5,19.3
31157,110.5,101.1,94.2,85.5,75.5,83.0,75.0
31159,49.3,57.2,51.6,50.4,47.1,27.5,27.3
31161,0.7,1.2,0.8,16.7,-9.0,3.0,4.8
31163,2.7,2.9,2.1,1.4,-9.0,3.7,3.4
31165,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31167,-9.0,-9.0,-9.0,-9.0,-9.0,2.0,-9.0
31169,4.0,5.2,4.1,0.6,-9.0,9.8,8.6
31171,-9.0,-9.0,-9.0,-9.0,-9.0,2.0,2.2
31173,28.2,2.9,1.6,0.5,0.0,21.4,22.2
31175,5.2,11.2,7.2,0.7,-9.0,32.3,75.1
31177,64.4,60.8,58.3,50.8,42.8,15.6,14.6
31179,56.6,51.6,51.4,48.2,43.2,27.0,33.1
31181,5.7,4.9,5.6,3.4,0.0,6.5,2.0
31183,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
31185,116.4,105.2,99.8,93.5,86.7,60.5,58.2
32001,135.2,121.7,108.0,101.1,77.7,44.7,38.1
32003,85.3,81.4,77.5,70.9,53.2,49.1,47.4
32005,105.9,104.1,104.4,99.1,82.6,42.4,43.2
32007,78.8,68.7,64.0,58.3,41.8,33.2,25.2
32009,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
32011,-9.0,-9.0,-9.0,-9.0,-9.0,12.0,8.2
32013,80.5,89.1,78.8,68.9,44.6,10.5,9.7
32015,1.7,1.3,0.3,0.6,-9.0,2.8,1.7
32017,97.7,93.6,85.6,76.4,67.1,52.5,48.4
32019,108.5,101.2,92.4,84.0,63.9,11.6,10.2
32021,145.9,134.8,120.5,102.4,64.7,58.9,46.6
32023,146.6,141.9,137.0,118.3,90.5,45.9,38.5
32027,52.1,45.9,38.9,31.5,24.3,12.1,14.9
32029,-9.0,-9.0,-9.0,-9.0,-9.0,34.3,29.9
32031,98.0,90.3,83.4,73.4,56.9,55.9,53.5
32033,115.4,109.5,101.3,90.5,71.7,29.1,28.6
32510,144.1,139.1,130.1,115.4,91.8,99.9,95.9
33001,87.0,82.2,68.6,57.8,49.6,25.3,25.5
33003,90.0,85.1,75.1,64.8,56.1,53.1,51.4
33005,79.2,74.2,65.1,53.4,45.2,29.4,26.8
33007,93.9,87.2,70.8,57.8,50.5,44.6,41.6
33009,87.1,79.5,67.8,54.9,48.2,61.1,55.7
33011,70.1,64.9,54.6,43.5,38.7,35.5,32.3
33013,90.4,86.1,73.7,59.5,52.1,46.8,46.7
33015,76.0,71.9,63.1,52.9,47.3,29.1,27.8
33017,95.0,91.5,79.9,64.4,55.2,49.7,40.8
33019,66.5,61.8,54.9,44.4,38.4,24.2,22.4
34001,84.7,80.3,74.5,64.5,54.3,57.9,53.9
34003,44.4,44.3,42.5,36.9,32.0,30.0,27.2
34005,73.9,73.4,69.0,59.5,51.1,54.2,54.1
34007,90.8,87.9,84.8,71.9,61.5,64.3,61.1
34009,96.8,95.3,88.2,76.2,64.7,35.7,26.6
34011,98.0,98.3,91.7,78.2,68.7,39.5,36.7
34013,43.0,42.4,39.6,33.5,29.3,34.2,30.2
34015,85.8,82.8,78.6,68.3,58.3,41.9,36.0
34017,38.6,38.3,36.9,32.1,28.0,20.2,18.9
34019,46.3,45.0,42.8,34.9,32.1,22.9,20.4
34021,59.6,59.1,54.1,46.5,42.4,38.2,34.0
34023,45.8,44.4,41.4,37.4,32.6,31.1,27.7
34025,61.8,59.3,55.1,46.7,41.0,40.9,38.6
34027,45.9,45.2,42.3,35.6,30.4,36.1,32.3
34029,72.6,70.6,66.5,56.0,48.0,23.6,20.2
34031,50.8,50.6,45.9,38.7,32.5,32.1,28.5
34033,80.5,78.1,72.0,60.2,50.0,24.9,23.9
34035,38.7,38.8,37.0,31.6,26.9,24.3,21.9
34037,63.7,61.0,59.6,49.6,42.7,23.8,23.8
34039,45.2,44.9,40.8,34.6,29.7,24.7,23.6
34041,77.5,75.4,70.6,58.9,51.1,37.3,29.9
35001,74.7,74.7,68.7,59.4,51.0,58.0,52.0
35003,-9.0,-9.0,-9.0,-9.0,-9.0,24.4,13.5
35005,88.8,84.6,81.2,68.9,62.5,55.3,50.0
35006,28.8,39.2,39.9,37.4,30.6,18.4,14.2
35007,85.8,74.0,69.9,62.3,53.1,74.2,74.9
35009,79.1,67.5,63.6,52.4,47.0,22.1,19.7
35011,26.2,6.9,7.3,6.9,0.1,4.7,5.3
35013,51.3,49.2,46.8,41.4,36.9,35.9,34.0
35015,98.9,94.4,89.5,79.2,70.8,71.5,79.1
35017,103.7,94.6,83.8,64.3,54.2,44.4,40.1
35019,9.9,8.6,7.0,6.9,0.1,50.1,108.2
35021,-9.0,-9.0,-9.0,-9.0,-9.0,22.2,31.9
35023,-9.0,-9.0,-9.0,-9.0,-9.0,16.6,14.2
35025,79.4,70.5,72.2,65.5,65.3,36.7,35.1
35027,97.9,95.5,92.6,81.6,66.5,29.3,28.1
35028,63.0,64.6,70.6,63.2,56.3,39.5,35.6
35029,95.8,92.6,72.8,65.0,59.0,43.2,44.9
